2023-06-21 11:03:17,725 INFO  [org.jboss.modules] (main) JBoss Modules version 2.0.3.Final
2023-06-21 11:03:18,870 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.13.Final
2023-06-21 11:03:18,884 INFO  [org.jboss.threads] (main) JBoss Threads version 2.4.0.Final
2023-06-21 11:03:18,968 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Full 27.0.1.Final (WildFly Core 19.0.1.Final) starting
2023-06-21 11:03:19,520 INFO  [org.wildfly.security] (Host Controller Service Threads - 4) ELY00001: WildFly Elytron version 2.0.0.Final
2023-06-21 11:03:19,952 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2023-06-21 11:03:19,994 INFO  [org.xnio] (MSC service thread 1-3) XNIO version 3.8.8.Final
2023-06-21 11:03:20,008 INFO  [org.xnio.nio] (MSC service thread 1-3) XNIO NIO Implementation Version 3.8.8.Final
2023-06-21 11:03:20,126 INFO  [org.jboss.remoting] (MSC service thread 1-1) JBoss Remoting version 5.0.26.Final
2023-06-21 11:03:20,133 INFO  [org.jboss.as.patching] (MSC service thread 1-4) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
2023-06-21 11:03:21,795 WARN  [org.jboss.as.controller] (Host Controller Service Threads - 36) WFLYCTL0481: The runtime dependency package 'io.smallrye.opentracing-contrib' is already registered at location '/profile=*/subsystem=microprofile-opentracing-smallrye'
2023-06-21 11:03:21,796 WARN  [org.jboss.as.controller] (Host Controller Service Threads - 36) WFLYCTL0481: The runtime dependency package 'io.smallrye.opentracing-contrib' is already registered at location '/profile=*/subsystem=microprofile-opentracing-smallrye'
2023-06-21 11:03:22,378 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'cluster' in the resource at address '/profile=default/subsystem=ejb3/service=remote' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2023-06-21 11:03:22,465 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'cluster' in the resource at address '/profile=ha/subsystem=ejb3/service=remote' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2023-06-21 11:03:22,499 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'cluster' in the resource at address '/profile=full/subsystem=ejb3/service=remote' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2023-06-21 11:03:22,541 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'cluster' in the resource at address '/profile=full-ha/subsystem=ejb3/service=remote' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2023-06-21 11:03:23,066 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.0.0.1:9990/management and https://127.0.0.1:-1/management
2023-06-21 11:03:23,067 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.1:9990 and https://127.0.0.1:-1
2023-06-21 11:03:23,173 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2023-06-21 11:03:26,603 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 467ef63b (inbound) of Remoting connection 2aa336d5 to 127.0.0.1/127.0.0.1:49491 of endpoint "primary:MANAGEMENT" <7100640f>]
2023-06-21 11:03:26,639 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2023-06-21 11:03:26,668 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2023-06-21 11:03:32,613 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 0cd406a8 (inbound) of Remoting connection 5aa25321 to 127.0.0.1/127.0.0.1:49546 of endpoint "primary:MANAGEMENT" <7100640f>]
2023-06-21 11:03:32,690 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
2023-06-21 11:03:32,715 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 27.0.1.Final (WildFly Core 19.0.1.Final) (Host Controller) started in 15435ms - Started 70 of 71 services (14 services are lazy, passive or on-demand) - Host Controller configuration files in use: domain.xml, host.xml
2023-06-21 11:04:16,918 INFO  [org.jboss.as.host.controller] (management-handler-thread - 1) WFLYHC0180: Shutting down in response to management operation 'shutdown'
2023-06-21 11:04:16,938 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 46) WFLYHC0024: Stopping server server-one
2023-06-21 11:04:16,941 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 46) WFLYHC0024: Stopping server server-two
2023-06-21 11:04:17,204 INFO  [org.jboss.as.host.controller] (management task-2) WFLYHC0027: Unregistering server server-two
2023-06-21 11:04:17,209 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0027: Unregistering server server-one
2023-06-21 11:04:17,658 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-one
2023-06-21 11:04:17,660 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-two
2023-06-21 11:04:17,667 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0050: WildFly Full 27.0.1.Final (WildFly Core 19.0.1.Final) stopped in 740ms
